policy,seed,bed_type,capacity,n_patients_served
baseline,20260911,general,30,304
baseline,20260911,monitored,10,80
baseline,20260911,critical,5,33
baseline,1,general,30,315
baseline,1,monitored,10,80
baseline,1,critical,5,34
baseline,2,general,30,311
baseline,2,monitored,10,82
baseline,2,critical,5,34
critical-bed-buffer,20260911,general,30,304
critical-bed-buffer,20260911,monitored,10,81
critical-bed-buffer,20260911,critical,5,30
critical-bed-buffer,1,general,30,315
critical-bed-buffer,1,monitored,10,80
critical-bed-buffer,1,critical,5,34
critical-bed-buffer,2,general,30,311
critical-bed-buffer,2,monitored,10,84
critical-bed-buffer,2,critical,5,32
tiered-buffer,20260911,general,30,304
tiered-buffer,20260911,monitored,10,81
tiered-buffer,20260911,critical,5,30
tiered-buffer,1,general,30,315
tiered-buffer,1,monitored,10,80
tiered-buffer,1,critical,5,34
tiered-buffer,2,general,30,311
tiered-buffer,2,monitored,10,84
tiered-buffer,2,critical,5,32
